       x_3  ,  y_3
      0.01  ,       20.235
  0.272632  ,      25.5319
  0.535263  ,       34.473
  0.797895  ,      32.0662
   1.06053  ,      43.7387
   1.32316  ,      42.0162
   1.58579  ,       60.352
   1.84842  ,      83.2927
   2.11105  ,      90.7923
   2.37368  ,      76.4588
   2.63632  ,      173.847
   2.89895  ,      143.544
   3.16158  ,      168.587
   3.42421  ,      183.321
   3.68684  ,      259.777
   3.94947  ,      233.873
   4.21211  ,      322.399
   4.47474  ,      556.162
   4.73737  ,      613.347
       5.0  ,      648.405
